10.1.201.14	00:0d:93:01:18:fd	nj-airport-basestation.cibernet.com
10.1.201.15	00:11:24:05:58:30	nj-airport-express.cibernet.com
10.1.201.22	00:0d:93:6e:91:e4	peel.cibernet.com
10.1.201.28	00:0d:93:8a:77:f4	talmac2-wifi.cibernet.com
10.1.201.29	00:0d:93:ee:f9:ee	gimel.cibernet.com
10.1.201.30	00:0d:93:ef:07:5f	betty.cibernet.com
10.1.201.31	00:0d:93:87:31:f9	farebrother.cibernet.com
10.1.201.32	00:11:24:22:28:7f	mlrmac.cibernet.com
10.1.201.33	00:0a:95:da:79:f6	gesmac.cibernet.com
10.1.201.34	00:0a:95:f2:8c:ce	gesmac-wifi.cibernet.com
10.1.201.35	00:0d:93:78:24:80	killmermac.cibernet.com
10.1.201.36	00:0d:93:c2:34:2a	talmac2.cibernet.com
10.1.201.37	00:0a:95:f7:f8:fb	pluspb.cibernet.com
10.1.201.38	00:0d:93:48:c7:6e	hlbmac.cibernet.com
10.1.201.39	00:11:24:94:67:95	bob.cibernet.com
10.1.201.41	00:11:24:84:36:cc	syehmac.cibernet.com
10.1.201.42	00:11:24:9b:cf:eb	syehmac-wifi.cibernet.com
10.1.201.43	00:11:24:c1:ea:4b	cairn-wifi.cibernet.com
10.1.201.44	00:14:51:0e:32:90	cairn.cibernet.com
10.1.240.14	00:0a:95:ac:d0:2e	pie.cibernet.com
10.1.240.26	00:0d:93:9d:f8:80	blossom.cibernet.com
10.1.240.27	00:01:03:31:34:88	m5.cibernet.com
10.1.240.40	00:11:24:9c:3d:6e	ocean.cibernet.com
10.1.240.41	00:11:24:89:1f:22	ocean-wired.cibernet.com
192.168.1.1	00:30:85:70:48:a0	gw-uklan.cibernet.com
192.168.1.10	00:10:83:0d:8a:92	postroom-uk.cibernet.com
192.168.1.11	00:30:6e:cd:55:2b	hp4000uk.cibernet.com
192.168.1.15	00:08:2:0c:f3:88	cbnts04.cibernet.com
192.168.1.17	00:11:43:f0:22:f0	kairos.cibernet.com
192.168.1.19	00:12:3f:ec:ca:34	babel.cibernet.com
192.168.1.20	00:0d:93:7a:c4:12	oduk01.cibernet.com
192.168.1.21	00:11:24:3e:5e:de	oduk02.cibernet.com
192.168.1.56	00:02:b3:95:e0:b7	cbnts03.cibernet.com
192.168.1.230	00:60:08:50:0b:79	cbnts01.cibernet.com
192.168.1.231	00:60:08:50:21:c8	cbnts02.cibernet.com
192.168.1.254	00:0f:f7:7a:b2:3e	pixuk-lan.cibernet.com

