DHCP_POOL_TEMPLATE dhcp-$a-$b-$c-$d.example.com
#10.1.1.0	UNUSED0A010100.example.com
#10.1.1.1	UNUSED0A010101.example.com
#10.1.1.2	UNUSED0A010102.example.com
#10.1.1.3	UNUSED0A010103.example.com
#10.1.1.4	UNUSED0A010104.example.com
#10.1.1.5	UNUSED0A010105.example.com
#10.1.1.6	UNUSED0A010106.example.com
#10.1.1.7	UNUSED0A010107.example.com
#10.1.1.8	UNUSED0A010108.example.com
#10.1.1.9	UNUSED0A010109.example.com
#10.1.1.10	UNUSED0A01010A.example.com
#10.1.1.11	UNUSED0A01010B.example.com
#10.1.1.12	UNUSED0A01010C.example.com
#10.1.1.13	UNUSED0A01010D.example.com
#10.1.1.14	UNUSED0A01010E.example.com
#10.1.1.15	UNUSED0A01010F.example.com
#10.1.1.16	UNUSED0A010110.example.com
#10.1.1.17	UNUSED0A010111.example.com
#10.1.1.18	UNUSED0A010112.example.com
#10.1.1.19	UNUSED0A010113.example.com
#10.1.1.20	UNUSED0A010114.example.com
#10.1.1.21	UNUSED0A010115.example.com
#10.1.1.22	UNUSED0A010116.example.com
#10.1.1.23	UNUSED0A010117.example.com
#10.1.1.24	UNUSED0A010118.example.com
#10.1.1.25	UNUSED0A010119.example.com
#10.1.1.26	UNUSED0A01011A.example.com
#10.1.1.27	UNUSED0A01011B.example.com
#10.1.1.28	UNUSED0A01011C.example.com
#10.1.1.29	UNUSED0A01011D.example.com
#10.1.1.30	UNUSED0A01011E.example.com
#10.1.1.31	UNUSED0A01011F.example.com
#10.1.1.32	UNUSED0A010120.example.com
#10.1.1.33	UNUSED0A010121.example.com
#10.1.1.34	UNUSED0A010122.example.com
#10.1.1.35	UNUSED0A010123.example.com
#10.1.1.36	UNUSED0A010124.example.com
#10.1.1.37	UNUSED0A010125.example.com
#10.1.1.38	UNUSED0A010126.example.com
#10.1.1.39	UNUSED0A010127.example.com
#10.1.1.40	UNUSED0A010128.example.com
#10.1.1.41	UNUSED0A010129.example.com
#10.1.1.42	UNUSED0A01012A.example.com
#10.1.1.43	UNUSED0A01012B.example.com
#10.1.1.44	UNUSED0A01012C.example.com
#10.1.1.45	UNUSED0A01012D.example.com
#10.1.1.46	UNUSED0A01012E.example.com
#10.1.1.47	UNUSED0A01012F.example.com
#10.1.1.48	UNUSED0A010130.example.com
